pm2.5,pm10,time,temperature,humidity
73.3,128.0,2019-10-19 09:28:11.543558,24.39917601281757,51.258106355382616
73.0,127.4,2019-10-19 09:28:12.491909,24.36980239566645,51.15739681086443
73.0,132.3,2019-10-19 09:28:13.440373,24.36980239566645,51.419851987487604
73.0,132.3,2019-10-19 09:28:14.397982,24.35645075150683,52.15533684290836
73.0,132.2,2019-10-19 09:28:15.627460,24.36980239566645,52.6405737392233
73.3,132.4,2019-10-19 09:28:16.544507,24.32974746318761,52.567330434119164
73.2,132.8,2019-10-19 09:28:17.461341,24.32974746318761,52.39032578011749
73.0,131.1,2019-10-19 09:28:18.378202,24.32974746318761,52.2240024414435
72.9,130.0,2019-10-19 09:28:19.600392,24.32974746318761,52.05920500495918
73.2,131.1,2019-10-19 09:28:20.517362,24.31372549019608,51.88677805752651
73.3,131.1,2019-10-19 09:28:21.434131,24.28435187304494,51.752498664835606
73.6,130.5,2019-10-19 09:28:22.350872,24.28435187304494,51.670099946593425
73.8,131.7,2019-10-19 09:28:23.573126,24.28435187304494,51.61058976119631
73.8,130.6,2019-10-19 09:28:24.490210,24.28435187304494,51.560234988937204
74.0,130.8,2019-10-19 09:28:25.407136,24.254978255893803,51.52361333638515
75.1,131.3,2019-10-19 09:28:26.630210,24.254978255893803,51.52361333638515
75.6,132.8,2019-10-19 09:28:27.546979,24.254978255893803,51.50988021667811
75.8,132.3,2019-10-19 09:28:28.463790,24.228274967574574,51.49309529259176
75.4,130.4,2019-10-19 09:28:29.380754,24.21225299458305,51.52819104295415
75.2,129.0,2019-10-19 09:28:30.603174,24.228274967574574,51.505302510109104
75.0,129.4,2019-10-19 09:28:31.520023,24.21225299458305,51.502250705729764
74.7,129.0,2019-10-19 09:28:32.436893,24.19890135042344,51.52513923857481
74.3,128.9,2019-10-19 09:28:33.353659,24.185549706263828,51.53734645609217
74.3,129.6,2019-10-19 09:28:34.575702,24.17219806210421,51.58007171740292
74.4,129.0,2019-10-19 09:28:35.492566,24.15617608911269,51.61516746776533
74.4,129.3,2019-10-19 09:28:36.437835,24.129472800793465,51.59838254367895
74.4,130.4,2019-10-19 09:28:37.385321,24.142824444953078,51.63805600061036
74.6,130.6,2019-10-19 09:28:38.627825,24.129472800793465,51.64721141374838
74.7,130.3,2019-10-19 09:28:39.575165,24.129472800793465,51.671625848783094
74.5,129.4,2019-10-19 09:28:40.517415,24.10009918364233,51.76317998016327
74.5,127.9,2019-10-19 09:28:41.449363,24.08674753948271,51.79522392614634
74.8,128.3,2019-10-19 09:28:42.386501,24.116121156633863,51.834897383077745
75.0,124.9,2019-10-19 09:28:43.328779,24.10009918364233,51.85778591592278
74.9,125.5,2019-10-19 09:28:44.593880,24.044022278171965,51.931029221026925
75.1,126.5,2019-10-19 09:28:45.536280,24.05737392233157,51.96917677576867
75.0,126.0,2019-10-19 09:28:46.473446,24.044022278171965,51.99206530861372
75.4,126.7,2019-10-19 09:28:47.405594,24.017318989852754,51.99969481956207
75.6,127.0,2019-10-19 09:28:48.347956,24.017318989852754,52.046997787441825
75.8,127.3,2019-10-19 09:28:49.611203,23.98794537270161,52.04242008087282
75.4,125.8,2019-10-19 09:28:50.553545,23.98794537270161,52.0790417334249
75.7,126.6,2019-10-19 09:28:51.485671,23.96124208438239,52.159914549477385
75.6,126.6,2019-10-19 09:28:52.422836,23.96124208438239,52.14770733196002
75.5,125.4,2019-10-19 09:28:53.359984,23.945220111390853,52.169069962615396
75.5,126.7,2019-10-19 09:28:54.623095,23.93186846723125,52.23010605020218
75.4,127.6,2019-10-19 09:28:55.570717,23.93186846723125,52.24383916990921
75.9,129.0,2019-10-19 09:28:56.513005,23.90516517891203,52.29419394216831
76.0,127.9,2019-10-19 09:28:57.450181,23.91851682307164,52.3399710078584
