pm2.5,pm10,time,temperature,humidity
62.0,87.7,2019-10-19 09:42:27.112515,25.728999771114673,48.888380254825655
62.2,87.0,2019-10-19 09:42:28.065820,25.71564812695506,48.874647135118636
62.6,86.3,2019-10-19 09:42:29.014323,25.71564812695506,48.95551995117114
62.6,85.8,2019-10-19 09:42:30.274135,25.71564812695506,49.18135347524224
62.7,86.1,2019-10-19 09:42:31.217300,25.728999771114673,49.38735027084765
62.8,85.8,2019-10-19 09:42:32.164661,25.728999771114673,49.593347066453035
62.6,85.4,2019-10-19 09:42:33.116449,25.728999771114673,49.71694514381628
62.9,85.3,2019-10-19 09:42:34.063958,25.728999771114673,49.77492942702373
62.9,85.7,2019-10-19 09:42:35.001229,25.728999771114673,49.72915236133364
63.0,85.8,2019-10-19 09:42:36.259433,25.742351415274285,49.66201266498818
63.0,86.8,2019-10-19 09:42:37.197643,25.728999771114673,49.54604409857328
63.2,87.0,2019-10-19 09:42:38.134633,25.742351415274285,49.5048447394522
63.3,86.7,2019-10-19 09:42:39.076987,25.742351415274285,49.413290608072025
63.2,86.5,2019-10-19 09:42:40.019405,25.742351415274285,49.35530632486458
63.4,86.8,2019-10-19 09:42:42.209425,25.742351415274285,49.30952925917449
64.5,88.3,2019-10-19 09:42:43.146509,25.742351415274285,49.36903944457161
64.8,88.5,2019-10-19 09:42:44.087454,25.742351415274285,49.390402075226966
64.9,89.0,2019-10-19 09:42:45.039948,25.742351415274285,49.36903944457161
64.7,88.4,2019-10-19 09:42:47.224813,25.728999771114673,49.30800335698481
65.1,89.7,2019-10-19 09:42:48.172194,25.728999771114673,49.31868467231251
65.4,89.5,2019-10-19 09:42:49.106543,25.728999771114673,49.298847943846795
65.6,90.6,2019-10-19 09:42:50.053902,25.71564812695506,49.27290760662242
65.8,89.2,2019-10-19 09:42:52.237302,25.71564812695506,49.204242008087284
65.8,88.1,2019-10-19 09:42:53.184705,25.728999771114673,49.16151674677654
66.1,90.4,2019-10-19 09:42:54.135713,25.71564812695506,49.103532463569096
66.3,90.2,2019-10-19 09:42:55.078107,25.742351415274285,49.11726558327612
66.5,90.5,2019-10-19 09:42:56.020310,25.728999771114673,49.060807202258346
67.4,90.4,2019-10-19 09:42:58.189725,25.728999771114673,49.069962615396356
67.4,90.9,2019-10-19 09:42:59.136863,25.702296482795447,49.033340962844285
67.8,92.2,2019-10-19 09:43:00.089413,25.71564812695506,49.01045242999925
68.0,92.1,2019-10-19 09:43:01.036796,25.71564812695506,48.93263141832608
68.7,93.6,2019-10-19 09:43:03.221488,25.71564812695506,48.89753566796367
68.7,93.2,2019-10-19 09:43:04.172946,25.71564812695506,48.8410772869459
69.2,93.5,2019-10-19 09:43:05.120423,25.702296482795447,48.82887006942855
69.4,93.5,2019-10-19 09:43:06.052394,25.702296482795447,48.795300221255815
69.8,93.1,2019-10-19 09:43:07.006099,25.71564812695506,48.831921873807886
70.0,93.6,2019-10-19 09:43:09.185604,25.71564812695506,48.76325627527275
70.2,93.4,2019-10-19 09:43:10.127786,25.71564812695506,48.76325627527275
70.4,93.3,2019-10-19 09:43:11.075175,25.68627450980393,48.75867856870374
70.2,94.4,2019-10-19 09:43:12.012275,25.702296482795447,48.70374608987565
70.6,97.0,2019-10-19 09:43:14.181643,25.68627450980393,48.69001297016861
70.6,96.4,2019-10-19 09:43:15.132488,25.68627450980393,48.66865033951324
70.8,96.7,2019-10-19 09:43:16.074775,25.65957122148469,48.64118410009918
71.1,98.4,2019-10-19 09:43:17.017154,25.68627450980393,48.60914015411612
70.9,98.1,2019-10-19 09:43:19.186558,25.68627450980393,48.60914015411612
70.4,96.5,2019-10-19 09:43:20.194097,25.68627450980393,48.575570305943394
70.1,96.6,2019-10-19 09:43:21.136303,25.68627450980393,48.5999847409781
69.9,96.1,2019-10-19 09:43:22.073455,25.672922865644303,48.59845883878843
70.3,96.3,2019-10-19 09:43:23.015715,25.65957122148469,48.63050278477149
70.0,93.6,2019-10-19 09:43:25.210953,25.65957122148469,48.618295567254144
70.1,94.7,2019-10-19 09:43:26.151917,25.65957122148469,48.56183718623636
69.8,95.0,2019-10-19 09:43:27.083863,25.672922865644303,48.632028686961156
69.4,94.4,2019-10-19 09:43:28.026140,25.646219577325105,48.60456244754711
69.6,93.9,2019-10-19 09:43:30.221163,25.646219577325105,48.584725719081405
69.8,95.6,2019-10-19 09:43:31.167089,25.646219577325105,48.59388113221942
69.7,94.9,2019-10-19 09:43:32.104190,25.646219577325105,48.60456244754711
69.4,94.1,2019-10-19 09:43:33.027460,25.65957122148469,48.618295567254144
68.7,93.6,2019-10-19 09:43:35.212222,25.61684596017395,48.6350804913405
68.6,93.3,2019-10-19 09:43:36.154454,25.630197604333556,48.636606393530165
68.4,93.6,2019-10-19 09:43:37.101864,25.61684596017395,48.6350804913405
68.1,93.7,2019-10-19 09:43:38.028737,25.630197604333556,48.717479209582656
68.0,95.5,2019-10-19 09:43:40.214815,25.603494316014352,48.66865033951324
67.7,95.5,2019-10-19 09:43:41.157055,25.590142671854736,48.70984969863432
67.8,94.8,2019-10-19 09:43:42.108556,25.590142671854736,48.735790035858706
67.5,94.6,2019-10-19 09:43:43.045650,25.61684596017395,48.7602044708934
66.8,91.4,2019-10-19 09:43:44.924966,25.603494316014352,48.792248416876475
66.4,91.3,2019-10-19 09:43:46.172651,25.603494316014352,48.88227664606698
65.9,89.8,2019-10-19 09:43:47.110737,25.61684596017395,48.89753566796367
65.7,89.2,2019-10-19 09:43:48.047872,25.603494316014352,48.93873502708476
65.4,89.5,2019-10-19 09:43:49.922212,25.603494316014352,48.91584649423972
65.5,89.5,2019-10-19 09:43:51.175013,25.5741206988632,48.96009765774014
65.5,88.6,2019-10-19 09:43:52.116266,25.560769054703602,48.989089799343866
65.3,90.3,2019-10-19 09:43:53.053291,25.5741206988632,49.005874723430225
65.3,91.1,2019-10-19 09:43:54.003189,25.560769054703602,49.0119783321889
65.0,91.2,2019-10-19 09:43:55.897935,25.560769054703602,49.08064393072405
65.2,90.6,2019-10-19 09:43:57.140761,25.5741206988632,49.07454032196537
65.0,90.3,2019-10-19 09:43:58.072804,25.560769054703602,49.12642099641414
64.6,90.5,2019-10-19 09:43:59.011134,25.547417410543986,49.10200656137943
64.1,89.0,2019-10-19 09:44:00.895675,25.560769054703602,49.16151674677654
64.0,88.9,2019-10-19 09:44:02.153597,25.534065766384373,49.1584649423972
64.1,89.7,2019-10-19 09:44:03.094848,25.534065766384373,49.1584649423972
64.3,89.2,2019-10-19 09:44:04.026846,25.534065766384373,49.22560463874266
64.4,90.4,2019-10-19 09:44:05.912709,25.515373464560923,49.22560463874266
64.3,90.4,2019-10-19 09:44:07.160323,25.515373464560923,49.314106965743505
64.5,90.6,2019-10-19 09:44:08.096154,25.515373464560923,49.437705043106746
64.4,89.3,2019-10-19 09:44:09.033235,25.50202182040131,49.52925917448693
64.5,89.5,2019-10-19 09:44:10.912650,25.488670176241694,49.570458533608
64.6,89.0,2019-10-19 09:44:12.165508,25.50202182040131,49.698634317540254
64.9,89.0,2019-10-19 09:44:13.108993,25.488670176241694,49.80849927519645
64.9,89.9,2019-10-19 09:44:14.040946,25.488670176241694,49.90005340657665
65.5,90.4,2019-10-19 09:44:15.920348,25.488670176241694,50.003814755474174
65.8,91.1,2019-10-19 09:44:17.168041,25.445944914930948,50.07705806057832
65.5,90.8,2019-10-19 09:44:18.114062,25.445944914930948,50.188448920424214
66.0,92.1,2019-10-19 09:44:19.051045,25.488670176241694,50.26474402990768
66.1,93.5,2019-10-19 09:44:20.927362,25.459296559090557,50.33951323720149
66.1,93.8,2019-10-19 09:44:22.174904,25.445944914930948,50.39291981383993
66.2,95.2,2019-10-19 09:44:23.116268,25.445944914930948,50.44937819485772
65.8,93.6,2019-10-19 09:44:24.060734,25.41924162661173,50.536354619668884
65.5,93.9,2019-10-19 09:44:25.004351,25.41924162661173,50.60502021820401
64.5,94.5,2019-10-19 09:44:26.878575,25.43259327077135,50.64164187075608
64.7,95.4,2019-10-19 09:44:28.121012,25.43259327077135,50.71030746929122
64.7,94.7,2019-10-19 09:44:29.064328,25.43259327077135,50.74540321965362
64.7,95.0,2019-10-19 09:44:30.006592,25.43259327077135,50.765239948119316
64.2,93.9,2019-10-19 09:44:31.890320,25.43259327077135,50.78812848096437
64.1,93.3,2019-10-19 09:44:33.132833,25.4032196536202,50.74082551308461
63.7,93.4,2019-10-19 09:44:34.074046,25.38986800946061,50.66910811017014
63.5,92.3,2019-10-19 09:44:35.006166,25.38986800946061,50.600442511634995
63.6,93.8,2019-10-19 09:44:36.890712,25.41924162661173,50.5500877393759
63.3,94.7,2019-10-19 09:44:38.133295,25.376516365300983,50.54398413061722
63.2,95.3,2019-10-19 09:44:39.074266,25.4032196536202,50.444800488288706
62.9,95.4,2019-10-19 09:44:40.006646,25.36316472114137,50.40360112916761
62.6,96.5,2019-10-19 09:44:41.885741,25.38986800946061,50.374608987563896
62.5,96.8,2019-10-19 09:44:43.139028,25.376516365300983,50.337987335011825
62.3,96.2,2019-10-19 09:44:44.085378,25.36316472114137,50.301365682459746
61.8,96.4,2019-10-19 09:44:45.027717,25.376516365300983,50.26932173647669
61.3,95.5,2019-10-19 09:44:46.896803,25.376516365300983,50.24795910582132
61.4,95.8,2019-10-19 09:44:48.139344,25.36316472114137,50.2235446707866
61.1,94.3,2019-10-19 09:44:49.090614,25.347142748149853,50.22049286640726
60.9,93.9,2019-10-19 09:44:50.022632,25.320439459830624,50.251010910200655
61.2,94.8,2019-10-19 09:44:51.891656,25.33379110399024,50.23270008392462
60.8,92.3,2019-10-19 09:44:53.134093,25.33379110399024,50.241855497062645
61.0,92.9,2019-10-19 09:44:54.080265,25.347142748149853,50.24338139925231
61.2,93.2,2019-10-19 09:44:55.017574,25.33379110399024,50.28763256275273
61.3,91.2,2019-10-19 09:44:56.879800,25.30708781567101,50.293736171511405
61.0,90.4,2019-10-19 09:44:58.117176,25.30708781567101,50.28305485618372
