pm2.5,pm10,time,temperature,humidity
64.3,151.3,2019-11-10 10:18:54.161689,21.37636377508201,49.69405661097124
64.8,149.4,2019-11-10 10:18:55.105309,21.37636377508201,50.54856183718624
65.1,148.9,2019-11-10 10:18:56.360141,21.389715419241625,50.5500877393759
65.3,152.6,2019-11-10 10:18:57.314588,21.37636377508201,49.86343175402458
64.6,150.0,2019-11-10 10:18:58.263908,21.389715419241625,49.32326237888152
65.1,150.6,2019-11-10 10:18:59.213206,21.389715419241625,48.98756389715419
65.0,153.4,2019-11-10 10:19:00.151933,21.405737392233164,48.71290150301365
66.8,199.6,2019-11-10 10:19:01.095978,21.389715419241625,48.291752498664856
70.2,269.1,2019-11-10 10:19:02.346117,21.405737392233164,47.90722514686809
70.5,277.0,2019-11-10 10:19:03.300648,21.419089036392762,47.50133516441596
70.9,277.9,2019-11-10 10:19:04.244566,21.419089036392762,47.29533836881056
71.1,275.8,2019-11-10 10:19:05.178671,21.419089036392762,47.174792095826646
71.1,272.8,2019-11-10 10:19:06.128508,21.419089036392762,47.65697718776226
70.8,267.6,2019-11-10 10:19:07.353984,21.419089036392762,48.039978637369344
70.7,261.6,2019-11-10 10:19:08.278551,21.43244068055237,48.10406652933547
70.4,257.0,2019-11-10 10:19:09.202599,21.43244068055237,48.584725719081405
70.1,251.5,2019-11-10 10:19:10.126148,21.448462653543913,51.59227893492027
70.1,247.5,2019-11-10 10:19:11.349753,21.47516594186313,56.56061646448463
71.2,250.6,2019-11-10 10:19:12.267688,21.488517586022734,60.44098573281453
71.3,253.2,2019-11-10 10:19:13.185718,21.50453955901427,61.75936522468911
71.4,252.3,2019-11-10 10:19:14.103628,21.50453955901427,61.0910200656138
71.2,250.9,2019-11-10 10:19:15.332335,21.517891203173875,59.61699855039292
71.1,251.5,2019-11-10 10:19:16.270881,21.517891203173875,57.846952010376135
71.6,251.7,2019-11-10 10:19:17.209320,21.531242847333488,56.037232013427925
71.8,258.2,2019-11-10 10:19:18.152780,21.54726482032501,54.312962539101235
72.0,262.8,2019-11-10 10:19:19.075708,21.560616464484625,52.41321431296255
71.9,261.4,2019-11-10 10:19:20.299498,21.560616464484625,51.35576409552148
71.5,261.7,2019-11-10 10:19:21.217491,21.54726482032501,50.26016632333867
71.8,260.0,2019-11-10 10:19:22.135653,21.58731975280385,49.18440527962158
71.8,259.7,2019-11-10 10:19:23.359373,21.573968108644237,48.44739452201114
72.0,261.1,2019-11-10 10:19:24.282309,21.58731975280385,47.61882963302053
71.8,262.3,2019-11-10 10:19:25.215191,21.60334172579537,46.790264744029905
71.9,262.3,2019-11-10 10:19:26.153531,21.60334172579537,46.02273594262608
71.9,260.1,2019-11-10 10:19:27.096982,21.60334172579537,45.4184786755169
72.3,260.7,2019-11-10 10:19:28.340954,21.6300450141146,44.73945220111391
72.0,259.7,2019-11-10 10:19:29.279284,21.58731975280385,44.299992370489036
72.1,257.0,2019-11-10 10:19:30.216962,21.6300450141146,43.96734569314107
70.8,225.3,2019-11-10 10:19:31.160728,21.6300450141146,43.668268863965814
68.7,174.9,2019-11-10 10:19:32.104582,21.646066987106124,43.49889372091249
68.4,164.3,2019-11-10 10:19:33.348476,21.646066987106124,43.271534294651715
68.1,161.6,2019-11-10 10:19:34.286734,21.659418631265737,43.10063324940872
67.7,157.8,2019-11-10 10:19:35.219711,21.672770275425357,42.969405661097106
67.7,156.4,2019-11-10 10:19:36.152528,21.659418631265737,42.825970855268174
67.7,157.2,2019-11-10 10:19:37.085789,21.646066987106124,42.69321736476692
67.7,157.7,2019-11-10 10:19:38.329729,21.672770275425357,42.56198977645533
