pm2.5,pm10,time,temperature,humidity
29.0,49.6,2019-11-10 10:03:07.803122,22.054627298390173,64.39765011062791
29.8,50.8,2019-11-10 10:03:08.720423,22.08400091554131,64.32898451209277
31.2,51.9,2019-11-10 10:03:09.637663,22.08400091554131,63.8147554741741
32.2,52.9,2019-11-10 10:03:10.860626,22.07064927138171,62.4826428625925
33.5,56.3,2019-11-10 10:03:11.777630,22.110704203860536,60.84534981307697
34.7,57.7,2019-11-10 10:03:12.694530,22.097352559700926,58.96238651102464
35.7,58.8,2019-11-10 10:03:13.937351,22.097352559700926,57.12214847028306
36.8,59.7,2019-11-10 10:03:14.884735,22.097352559700926,55.530632486457606
37.4,60.1,2019-11-10 10:03:15.821905,22.110704203860536,54.1741054398413
38.1,60.6,2019-11-10 10:03:16.753953,22.097352559700926,53.15022507057298
38.8,61.2,2019-11-10 10:03:17.685927,22.12672617685206,52.07751583123522
39.6,62.7,2019-11-10 10:03:18.928436,22.12672617685206,51.377126726176854
40.3,64.4,2019-11-10 10:03:19.871467,22.110704203860536,50.768291752498655
40.8,64.3,2019-11-10 10:03:20.824228,22.15342946517129,50.131990539406424
41.7,65.2,2019-11-10 10:03:21.761420,22.15342946517129,49.67116807812619
42.9,68.1,2019-11-10 10:03:22.693352,22.12672617685206,49.23170824750135
44.6,70.4,2019-11-10 10:03:23.930670,22.12672617685206,48.90516517891203
46.1,73.0,2019-11-10 10:03:24.876344,22.12672617685206,48.67322804608224
48.2,77.3,2019-11-10 10:03:25.828896,22.1667811093309,48.48554207675289
50.1,80.5,2019-11-10 10:03:26.771135,22.140077821011683,48.31006332494086
51.7,82.3,2019-11-10 10:03:27.719869,22.140077821011683,48.17883573662929
52.6,84.2,2019-11-10 10:03:28.957238,22.15342946517129,48.03540093080034
53.1,85.5,2019-11-10 10:03:29.892731,22.140077821011683,47.96215762569619
52.8,82.4,2019-11-10 10:03:30.836670,22.1667811093309,47.780575265125506
53.8,83.6,2019-11-10 10:03:31.784057,22.140077821011683,47.70580605783171
54.1,83.2,2019-11-10 10:03:32.731518,22.1667811093309,47.60051880674449
55.4,85.2,2019-11-10 10:03:33.968913,22.182803082322426,47.62798504615854
55.6,85.9,2019-11-10 10:03:34.900331,22.1667811093309,47.51506828412299
56.1,85.5,2019-11-10 10:03:35.847639,22.1667811093309,47.44182497901885
55.9,83.9,2019-11-10 10:03:36.779650,22.1667811093309,47.211413748378725
56.8,84.2,2019-11-10 10:03:37.716793,22.15342946517129,47.064927138170454
57.1,84.0,2019-11-10 10:03:38.964459,22.15342946517129,46.869611657892726
57.2,83.9,2019-11-10 10:03:39.917957,22.15342946517129,46.72312504768444
57.1,83.4,2019-11-10 10:03:40.860168,22.12672617685206,46.515602349889356
57.3,82.6,2019-11-10 10:03:41.792213,22.1667811093309,46.35080491340505
57.5,82.3,2019-11-10 10:03:42.728797,22.140077821011683,46.14175631342032
57.5,82.3,2019-11-10 10:03:43.976517,22.1667811093309,45.99832150759136
57.2,82.0,2019-11-10 10:03:44.919736,22.1667811093309,45.912870984969864
57.3,82.2,2019-11-10 10:03:45.862004,22.15342946517129,45.80300602731365
57.6,82.4,2019-11-10 10:03:46.804106,22.15342946517129,45.63363088426032
57.7,82.9,2019-11-10 10:03:47.741176,22.140077821011683,45.513084611276426
57.5,82.1,2019-11-10 10:03:48.983638,22.140077821011683,45.352864881361114
57.6,81.1,2019-11-10 10:03:49.929656,22.110704203860536,45.16975661860075
57.8,81.9,2019-11-10 10:03:50.877069,22.12672617685206,44.96375982299535
57.8,82.0,2019-11-10 10:03:51.809131,22.12672617685206,44.757763027389935
57.4,80.1,2019-11-10 10:03:52.741097,22.110704203860536,44.64789806973373
57.6,80.6,2019-11-10 10:03:53.989558,22.12672617685206,44.502937361715105
58.3,80.5,2019-11-10 10:03:54.930445,22.110704203860536,44.36560616464485
58.2,78.6,2019-11-10 10:03:55.877925,22.110704203860536,44.24658579385061
58.8,78.5,2019-11-10 10:03:56.815040,22.097352559700926,44.18249790188449
58.9,78.7,2019-11-10 10:03:57.747000,22.110704203860536,44.112306401159685
59.0,78.3,2019-11-10 10:03:58.984447,22.097352559700926,44.026855878538186
58.7,77.1,2019-11-10 10:03:59.920179,22.097352559700926,43.953612573434036
58.7,77.9,2019-11-10 10:04:00.873914,22.08400091554131,43.878843366140224
58.6,77.5,2019-11-10 10:04:01.826502,22.097352559700926,43.80712596322576
58.9,77.9,2019-11-10 10:04:02.758490,22.054627298390173,43.75524528877699
58.7,77.1,2019-11-10 10:04:04.001057,22.07064927138171,43.69726100556954
58.6,76.3,2019-11-10 10:04:05.894402,22.07064927138171,43.70641641870756
58.6,76.4,2019-11-10 10:04:06.826469,22.054627298390173,43.74303807125963
58.6,77.4,2019-11-10 10:04:07.758498,22.07064927138171,43.76897840848402
59.2,78.7,2019-11-10 10:04:08.995845,22.02792401007096,43.787289234760046
59.3,79.1,2019-11-10 10:04:09.936580,22.054627298390173,43.8147554741741
59.7,79.3,2019-11-10 10:04:10.878902,22.07064927138171,43.830014496070795
59.3,77.9,2019-11-10 10:04:11.836637,22.02792401007096,43.92004272526132
59.4,78.5,2019-11-10 10:04:12.773759,22.011902037079423,44.0161745632105
59.3,78.5,2019-11-10 10:04:14.016349,21.998550392919807,43.97955291065843
59.7,79.3,2019-11-10 10:04:15.904042,22.02792401007096,44.00396734569314
59.7,79.2,2019-11-10 10:04:16.841213,22.02792401007096,44.05432211795224
59.8,78.6,2019-11-10 10:04:17.783542,22.011902037079423,44.06347753109026
60.0,78.4,2019-11-10 10:04:19.041459,21.998550392919807,44.06347753109026
59.9,77.7,2019-11-10 10:04:20.940651,22.011902037079423,44.10009918364233
59.9,77.5,2019-11-10 10:04:21.877768,22.011902037079423,44.10009918364233
