pm2.5,pm10,time
18.6,21.8,13:35:22
18.7,22,13:35:23
18.6,21.6,13:35:24
18.7,21.7,13:35:25
18.6,21.6,13:35:26
18.6,21.4,13:35:26
18.6,21.7,13:35:28
18.6,21.9,13:35:29
18.7,21.9,13:35:29
18.5,22,13:35:31
18.5,21.8,13:35:32
18.6,22,13:35:32
18.7,22.1,13:35:34
18.8,22.3,13:35:35
18.8,22.4,13:35:35
18.7,22.3,13:35:37
18.7,22.3,13:35:38
18.6,22.1,13:35:39
18.5,22,13:35:40
18.5,22.1,13:35:41
18.5,21.7,13:35:42
18.5,21.6,13:35:43
18.5,21.5,13:35:44
18.5,21.3,13:35:45
18.5,21.3,13:35:46
18.6,21,13:35:47
18.6,21.1,13:35:48
18.6,21.1,13:35:49
18.7,21,13:35:50
18.7,21.7,13:35:51
18.7,21.8,13:35:52
18.5,21.7,13:35:53
18.5,21.8,13:35:54
18.4,21.7,13:35:55
18.3,21.7,13:35:56
18.3,21.6,13:35:57
18.2,21.4,13:35:58
18.1,21,13:35:59
18.1,21.4,13:36:00
18.1,21.6,13:36:01
18.2,21.8,13:36:02
18.1,22.2,13:36:03
18.1,22.2,13:36:04
18,22,13:36:05
18,21.9,13:36:06
18.1,22.1,13:36:06
18,21.9,13:36:08
18.1,22.1,13:36:09
18.2,22.1,13:36:10
18.1,22,13:36:11
18.1,21.8,13:36:12
17.9,21.7,13:36:13
17.8,21.5,13:36:14
17.8,21.5,13:36:15
17.9,21.7,13:36:16
17.9,21.7,13:36:17
17.7,21.6,13:36:18
17.6,21.4,13:36:19
17.4,21.3,13:36:20
17.4,20.4,13:36:21
17.3,20.3,13:36:22
17.3,20.4,13:36:23
17.4,20.5,13:36:24
17.5,20.5,13:36:25
17.5,20.6,13:36:26
17.5,20.6,13:36:27
17.4,20.5,13:36:28
17.5,20.6,13:36:29
17.5,20.6,13:36:30
17.6,20.1,13:36:31
17.3,19.6,13:36:32
17.2,19.3,13:36:33
17.2,19.3,13:36:34
17.1,19.2,13:36:35
17,19.1,13:36:36
17,19.1,13:36:37
17.1,19.3,13:36:38
17,19.2,13:36:39
17.1,19.4,13:36:40
17.2,19.4,13:36:41
17.2,19.5,13:36:42
17.2,19.5,13:36:43
17.2,19.4,13:36:44
17,19.2,13:36:45
16.9,19,13:36:46
17,19.3,13:36:47
17.1,19.3,13:36:48
17.3,19.5,13:36:49
17.3,19.4,13:36:50
17.2,19.3,13:36:51
17.2,19.4,13:36:52
17.3,19.4,13:36:53
17.3,19.4,13:36:54
17.2,19.5,13:36:55
17.3,19.4,13:36:56
17.3,19.5,13:36:57
17.3,19.5,13:36:58
17.1,19.4,13:36:59
17.2,19.3,13:37:00
17,19.1,13:37:01
17,19.3,13:37:02
17.3,19.4,13:37:03
17.2,19.3,13:37:04
17.3,19.5,13:37:05
17.3,19.9,13:37:06
17.4,20.1,13:37:07
17.4,20.5,13:37:08
17.3,20.3,13:37:09
17.1,20,13:37:10
17.2,20.1,13:37:11
17.1,20.1,13:37:12
17.2,20.1,13:37:13
17.3,20.5,13:37:14
17.5,20.8,13:37:15
17.6,20.9,13:37:16
17.4,20.5,13:37:17
17.5,20.8,13:37:18
17.4,20.7,13:37:19
17.4,20.8,13:37:20
17.5,20.9,13:37:21
17.5,20.7,13:37:22
17.5,20.7,13:37:23
17.5,20.7,13:37:24
17.5,21.1,13:37:25
17.5,21.1,13:37:26
17.5,21.5,13:37:27
17.6,21.6,13:37:28
17.6,21.7,13:37:29
17.6,21.7,13:37:30
17.6,21.8,13:37:31
17.8,21.8,13:37:32
17.7,21.6,13:37:33
17.7,21.6,13:37:34
17.7,21.5,13:37:35
17.7,21.3,13:37:36
17.6,20.9,13:37:37
17.5,20.3,13:37:38
17.6,20.5,13:37:39
17.7,20.7,13:37:40
17.6,20.5,13:37:41
17.8,20.8,13:37:42
17.7,21.3,13:37:43
17.5,21.1,13:37:44
17.4,20.9,13:37:45
17.4,20.9,13:37:46
17.6,22.4,13:37:47
17.5,22.3,13:37:48
17.5,22.4,13:37:49
17.5,22.4,13:37:50
17.5,22.3,13:37:51
17.5,22.5,13:37:52
17.5,22.4,13:37:53
17.5,22.1,13:37:54
17.5,21.6,13:37:55
17.5,21.6,13:37:56
17.5,21.2,13:37:57
17.4,21.1,13:37:58
17.5,21.1,13:37:59
17.5,21.1,13:38:00
17.5,21,13:38:01
17.4,20.9,13:38:02
17.3,20.8,13:38:03
17.3,21.1,13:38:04
17.3,21.1,13:38:05
17.2,21,13:38:06
17.2,20.9,13:38:07
17,20.7,13:38:08
17,20.7,13:38:09
17,20.6,13:38:10
17,20.6,13:38:11
16.8,20.3,13:38:12
16.9,19.9,13:38:13
16.8,19.8,13:38:14
16.9,20.4,13:38:15
16.9,20.3,13:38:16
16.7,19,13:38:17
16.7,18.7,13:38:18
16.7,18.7,13:38:19
16.7,18.7,13:38:20
16.6,18.6,13:38:21
16.5,18.5,13:38:22
16.5,18.5,13:38:23
16.6,18.6,13:38:24
16.7,18.7,13:38:25
16.7,18.7,13:38:26
16.4,18.3,13:38:27
16.4,18.3,13:38:28
16.3,18.2,13:38:29
16.2,18.1,13:38:30
16.1,18,13:38:31
16.1,18,13:38:32
16.1,18,13:38:33
16.1,18.1,13:38:34
16.2,18.4,13:38:35
16.3,18.8,13:38:36
16.3,18.9,13:38:37
16.4,19.8,13:38:38
16.5,20.5,13:38:39
16.5,20.6,13:38:40
16.5,20.5,13:38:41
16.5,20.6,13:38:42
16.5,20.5,13:38:43
16.6,20.8,13:38:44
16.6,20.2,13:38:45
16.6,20.2,13:38:46
16.6,20.3,13:38:47
16.6,20.3,13:38:48
16.7,20.3,13:38:49
16.7,20.4,13:38:50
16.7,20.5,13:38:51
16.6,20.4,13:38:52
16.7,20.5,13:38:53
16.6,20.4,13:38:54
16.5,20.5,13:38:55
16.5,20.5,13:38:56
16.7,20.7,13:38:57
16.7,20.7,13:38:58
16.8,20.7,13:38:59
16.9,20.7,13:39:00
17,20.8,13:39:01
17,20.9,13:39:02
17,20.9,13:39:03
17,20,13:39:04
16.9,19.7,13:39:05
16.9,19.4,13:39:06
17,19.5,13:39:07
17,19,13:39:08
16.9,18.8,13:39:09
16.9,18.8,13:39:10
17,19,13:39:11
17.1,19.1,13:39:12
17.1,19.1,13:39:13
17,19,13:39:14
16.9,18.8,13:39:15
16.8,18.8,13:39:16
16.6,18.6,13:39:17
16.5,18.5,13:39:18
16.5,18.5,13:39:19
16.5,18.5,13:39:20
16.5,18.5,13:39:21
16.4,18.5,13:39:22
16.4,18.4,13:39:23
16.5,18.6,13:39:24
16.4,18.8,13:39:25
16.5,19.1,13:39:26
16.5,19.5,13:39:27
16.5,19.5,13:39:28
16.4,19.1,13:39:29
16.4,19.2,13:39:30
16.3,19.1,13:39:31
16.4,19.3,13:39:32
16.4,19.3,13:39:33
16.4,19.5,13:39:34
16.3,19.5,13:39:35
16.2,19.5,13:39:36
16.1,19.4,13:39:37
16,19.4,13:39:38
16,19.4,13:39:39
16,19.2,13:39:40
15.9,19.1,13:39:41
15.8,18.8,13:39:42
15.9,19.1,13:39:43
16,19.3,13:39:44
16.1,19.4,13:39:45
16.1,18.8,13:39:46
16.1,19,13:39:47
16.2,19.1,13:39:48
16.2,19,13:39:49
16.4,19.3,13:39:50
16.3,19.8,13:39:51
16.4,19.8,13:39:52
16.5,20,13:39:53
16.4,19.6,13:39:54
16.4,20.1,13:39:55
16.4,20.1,13:39:56
16.4,19.8,13:39:57
16.2,19.7,13:39:58
16.2,19.9,13:39:59
16.2,19.8,13:40:00
16.3,22.9,13:40:01
16.2,22.7,13:40:02
16.2,22.9,13:40:03
16.3,22.7,13:40:04
16.3,22.7,13:40:05
16.5,22.9,13:40:06
16.4,23.6,13:40:07
16.5,23.6,13:40:08
16.6,24.6,13:40:09
