pm2.5,pm10,time
18.1,22.7,13:33:04
17.9,22.7,13:33:05
17.8,22.6,13:33:06
17.8,22.5,13:33:07
17.8,22.6,13:33:08
17.8,22.1,13:33:09
17.7,21.9,13:33:10
17.8,22,13:33:11
17.7,22.4,13:33:12
17.7,22.1,13:33:13
17.7,22,13:33:14
17.7,21.8,13:33:15
17.8,21.9,13:33:16
17.8,22,13:33:17
17.7,22.1,13:33:18
17.7,21.9,13:33:19
17.9,22.2,13:33:20
17.7,22,13:33:21
17.5,21.7,13:33:22
17.4,21.4,13:33:23
17.3,21.3,13:33:24
17.3,21.2,13:33:25
17.2,21.3,13:33:26
17.3,21.5,13:33:27
17.2,21.4,13:33:28
17.2,20.5,13:33:29
17.2,20.6,13:33:30
17.1,20.5,13:33:31
17.1,20.6,13:33:32
17.2,20.7,13:33:33
17.3,20.8,13:33:34
17.5,21.1,13:33:35
17.5,21.3,13:33:36
17.4,21.9,13:33:37
17.2,21.8,13:33:38
17.1,21.7,13:33:39
17,21.5,13:33:40
17.1,22,13:33:41
17.1,21.5,13:33:42
17,21.5,13:33:43
17,21.5,13:33:44
17,21.7,13:33:45
17,21.7,13:33:46
17,21.6,13:33:47
17,21.5,13:33:48
16.8,21.3,13:33:49
16.8,21.1,13:33:50
16.8,21.1,13:33:51
16.9,21.3,13:33:52
17,21.4,13:33:53
16.8,21.3,13:33:54
16.9,21.2,13:33:55
16.9,21.6,13:33:56
17,22.3,13:33:57
17.1,22.7,13:33:58
17,22.7,13:33:59
17,22.8,13:34:00
16.9,22.7,13:34:01
16.8,22.7,13:34:02
16.8,22.6,13:34:03
16.8,22.7,13:34:04
16.7,22.2,13:34:05
16.8,22.1,13:34:06
16.7,21.1,13:34:07
16.8,21.2,13:34:08
17,21.2,13:34:09
17.1,21.6,13:34:10
17,21,13:34:11
16.9,20.8,13:34:12
17,20.9,13:34:13
16.9,20.8,13:34:14
16.9,21.4,13:34:15
16.9,21.3,13:34:16
16.9,21.2,13:34:17
16.8,21.1,13:34:18
16.8,21.4,13:34:19
16.7,21.3,13:34:20
16.7,21.3,13:34:21
16.7,21.1,13:34:22
16.7,21.3,13:34:23
16.8,21.4,13:34:24
16.8,21.4,13:34:25
16.7,20.6,13:34:26
16.7,20.2,13:34:27
16.5,19.8,13:34:28
16.6,19.8,13:34:29
16.6,19.9,13:34:30
16.6,19.8,13:34:31
16.7,19.6,13:34:32
16.7,19.7,13:34:33
16.6,19.5,13:34:34
16.5,19.5,13:34:35
16.5,19.6,13:34:36
16.6,19.7,13:34:37
16.6,19.7,13:34:38
16.5,20.2,13:34:39
16.4,20.2,13:34:40
16.6,20.3,13:34:41
16.6,20.5,13:34:42
16.5,20.4,13:34:43
16.7,20.6,13:34:44
16.6,20.5,13:34:45
