pm2.5,pm10,time
16.5,18.4,14:21:04
16.6,18.5,14:21:05
16.6,18.5,14:21:05
16.6,18.5,14:21:06
16.6,18.5,14:21:08
16.7,18.6,14:21:08
16.5,18.4,14:21:09
16.5,18.4,14:21:11
16.4,18.3,14:21:11
16.2,18.1,14:21:12
16,17.9,14:21:14
16,17.9,14:21:14
16,17.9,13:39:36
16.2,18.1,13:39:37
16.2,18.1,13:39:38
16.3,18.1,13:39:39
16.2,18,13:39:40
16.5,18.3,13:39:41
16.7,18.5,13:39:42
16.6,18.4,13:39:43
16.6,18.4,13:39:44
16.6,18.4,13:39:45
16.6,18.4,13:39:46
16.5,18.3,13:39:47
16.4,18.2,13:39:48
16.5,18.4,13:39:49
16.8,18.7,13:39:50
16.8,18.7,13:39:51
16.7,18.6,13:39:52
16.6,18.5,13:39:53
16.9,19.9,13:39:54
16.9,22,13:39:55
17.2,22.3,13:39:56
17.3,23.9,13:39:57
17.5,25.5,13:39:58
17.6,28.4,13:39:59
17.7,28.8,13:40:00
18,31.1,13:40:01
18.1,31.1,13:40:02
18.3,31.3,13:40:03
18.4,31.5,13:40:04
18.2,31.4,13:40:05
18.1,31.2,13:40:06
18,31.2,13:40:07
18,31.1,13:40:08
17.9,30.9,13:40:09
17.9,30.9,13:40:10
17.8,31.1,13:40:11
17.7,31,13:40:12
17.6,30.8,13:40:13
17.4,30.5,13:40:14
17.5,30.6,13:40:15
17.5,30.5,13:40:16
17.4,30.4,13:40:17
17.3,31.1,13:40:18
17.3,30.5,13:40:19
17,30.2,13:40:20
16.9,30,13:40:21
16.8,29.9,13:40:22
16.8,29.9,13:40:23
16.7,27.5,13:40:24
16.6,25.6,13:40:25
16.4,25.4,13:40:26
16.3,23.6,13:40:27
16.1,22.2,13:40:28
16.1,19.7,13:40:29
16,19.2,13:40:30
15.7,17.7,13:40:31
15.8,18.1,13:40:32
15.8,18.2,13:40:33
15.7,18.1,13:40:34
15.8,18,13:40:35
15.7,18,13:40:36
15.9,18.2,13:40:37
16,18.4,13:40:38
16,18.5,13:40:39
15.9,18.5,13:40:40
15.8,18.2,13:40:41
15.8,18.3,13:40:42
16,18.5,13:40:43
16.1,19,13:40:44
16.2,19.1,13:40:45
16.1,19,13:40:46
16.4,19.6,13:40:47
16.4,19,13:40:48
16.3,18.8,13:40:49
16.3,18.9,13:40:50
16.6,19.2,13:40:51
16.5,19.1,13:40:52
16.5,19,13:40:53
16.6,19,13:40:54
16.5,18.6,13:40:55
16.3,18.4,13:40:56
16.4,18.6,13:40:57
16.2,18.7,13:40:58
16.1,18.3,13:40:59
16.1,18.5,13:41:00
16,17.9,13:41:01
16,17.9,13:41:02
15.9,17.8,13:41:03
16.1,18,13:41:04
16.2,18.7,13:41:05
16.1,18.6,13:41:06
16.1,18.6,13:41:07
16.1,18.6,13:41:08
16.1,18.4,13:41:09
16.1,18.4,13:41:10
16.2,18.7,13:41:11
16.2,18.6,13:41:12
16.2,18.5,13:41:13
16.3,18.5,13:41:14
16.2,18.3,13:41:15
16.4,18.4,13:41:16
16.2,18.1,13:41:17
16.2,18.1,13:41:18
16.2,18.1,13:41:19
16.1,18,13:41:20
15.8,17.7,13:41:21
15.7,17.6,13:41:22
15.7,18.4,13:41:23
15.5,18.2,13:41:24
15.7,18.6,13:41:25
15.8,18.9,13:41:26
15.8,18.8,13:41:27
16,18.5,13:41:28
16.1,18.8,13:41:29
16.2,18.7,13:41:30
16.3,18.9,13:41:31
16.2,18.8,13:41:32
16.2,18.8,13:41:33
16.2,18.2,13:41:34
16,17.9,13:41:35
16,17.9,13:41:37
15.8,17.7,13:41:37
15.8,17.6,13:41:38
15.7,17.5,13:41:40
15.7,17.5,13:41:40
15.7,17.8,13:41:41
