pm2.5,pm10,time
18.1,23.5,13:32:18
18.2,24,13:32:19
18.3,24.3,13:32:20
18.3,24.2,13:32:21
18.4,24.5,13:32:22
18.4,24.9,13:32:23
18.3,24.9,13:32:24
18.3,24.9,13:32:25
18.3,24,13:32:26
18.2,23.8,13:32:27
18.1,23.5,13:37:33
18.4,23.8,13:37:34
18.4,23.7,13:37:35
18.4,23.6,13:37:36
18.2,23.6,13:37:37
18.1,23.6,13:37:38
18.1,23.9,13:37:39
18.1,23.9,13:37:40
17.9,22.9,13:37:41
17.8,21.9,13:37:42
17.7,20.8,13:37:43
17.9,20.9,13:37:44
18.1,21.1,13:37:45
18.2,21.3,13:37:46
18.4,22.9,13:37:47
18.4,22.9,13:37:48
18.6,23.1,13:37:49
18.8,23.5,13:37:50
18.7,22.2,13:37:51
18.7,22.5,13:37:52
18.7,22.8,13:37:53
18.7,22.5,13:37:54
18.6,22.4,13:37:55
18.8,22.7,13:37:56
18.7,22.5,13:37:57
18.6,21.9,13:37:58
18.7,21.8,13:37:59
18.8,22.1,13:38:00
18.7,22.1,13:38:01
18.6,22,13:38:02
18.6,22.1,13:38:03
18.5,22,13:38:04
18.5,22.2,13:38:05
18.7,22.6,13:38:06
18.8,22.4,13:38:07
18.8,23,13:38:08
18.8,22.7,13:38:09
19.1,23.1,13:38:10
19.1,23.1,13:38:11
18.9,23,13:38:12
18.9,23,13:38:13
18.7,23,13:38:14
18.6,22.8,13:38:15
18.5,22.9,13:38:16
18.6,21.3,13:38:17
18.5,21.2,13:38:18
18.5,21.3,13:38:19
18.3,21.1,13:38:20
18.2,21.2,13:38:21
18.2,20.9,13:38:22
18.2,20.6,13:38:23
18.4,20.7,13:38:24
18.5,20.8,13:38:25
18.6,21,13:38:26
18.5,21.1,13:38:27
18.5,21.2,13:38:28
18.6,21.3,13:38:29
18.5,21.1,13:38:30
18.6,21.2,13:38:31
18.6,21.2,13:38:32
18.6,21.3,13:38:33
18.5,21,13:38:34
18.1,20.5,13:38:35
